 ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:Body,86680,7.239,2.368,1,44,136,31,1136,135
2,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0039-0913,16,8.500,2.098,5,12,907,38,13,2
3,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0038-0930,58,9.741,2.813,4,16,920,36,20,4
4,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0037-0950,100,7.150,2.341,2,12,940,34,20,6
5,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0036-0970,136,6.426,2.286,2,15,960,33,20,7
6,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0036-0990,153,4.373,2.149,1,10,980,32,20,8
7,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0036-1010,160,4.594,1.799,1,11,1000,32,20,8
8,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0035-1030,178,5.062,1.842,1,10,1020,31,20,9
9,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0035-1050,147,6.830,2.846,1,13,1040,31,20,9
10,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0037-1070,72,4.667,1.492,2,7,1060,35,20,5
11,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0038-1090,24,4.292,1.233,2,7,1080,37,20,3
12,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0059-0718,4,9.000,0.816,8,10,716,59,4,1
13,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0058-0730,39,7.385,1.310,5,10,720,57,20,3
14,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0057-0750,81,7.247,2.071,4,13,740,55,20,5
15,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0056-0770,122,8.402,1.965,4,13,760,53,20,7
16,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0055-0790,164,6.543,1.989,3,12,780,51,20,9
17,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0054-0810,206,7.121,2.652,2,15,800,49,20,11
18,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0053-0830,248,6.056,2.600,2,14,820,47,20,13
19,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0052-0850,291,6.450,2.447,2,13,840,44,20,16
20,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0051-0870,333,7.607,3.085,1,14,860,42,20,18
